Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
3:00 PM,86  F,72  F,62 %,E,10 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
3:30 PM,86  F,73  F,66 %,ENE,10 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
4:00 PM,86  F,73  F,66 %,ENE,9 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
4:30 PM,84  F,73  F,70 %,ENE,9 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
5:00 PM,84  F,72  F,66 %,ENE,9 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
5:30 PM,84  F,73  F,70 %,ENE,8 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
6:00 PM,84  F,72  F,66 %,ENE,9 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
6:30 PM,82  F,73  F,74 %,ENE,9 mph,0 mph,29.8 in,0.0 in,0.0 in,Mostly Cloudy
7:00 PM,82  F,73  F,74 %,NE,7 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
7:30 PM,82  F,73  F,74 %,NE,6 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
8:00 PM,82  F,73  F,74 %,NE,6 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
8:30 PM,81  F,73  F,79 %,NE,3 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
9:00 PM,81  F,75  F,84 %,NNE,3 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
9:30 PM,81  F,75  F,84 %,NNE,3 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
10:00 PM,81  F,75  F,84 %,NNE,3 mph,0 mph,29.9 in,0.0 in,0.0 in,Partly Cloudy
10:30 PM,79  F,75  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
11:00 PM,79  F,75  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
11:30 PM,79  F,75  F,89 %,CALM,0 mph,0 mph,29.8 in,0.0 in,0.0 in,Partly Cloudy
